ID,Type,Model,BLEU,BERTScore_F1,Human_Overall,Rank_BLEU,Rank_BERTScore,Rank_Human,Rank_Diff_BLEU,Rank_Diff_BERT,BLEU_Discrepancy,BERT_Discrepancy
S1,Formal/Science,Helsinki_NLP,17.03,80.14,2.6,14.0,22.0,18.5,4.5,3.5,False,False
S2,Formal/Science,Helsinki_NLP,14.29,87.51,2.87,15.0,10.0,14.0,1.0,4.0,False,False
S3,Formal/Geography,Helsinki_NLP,5.15,80.46,2.8,22.0,21.0,16.5,5.5,4.5,False,False
S4,Formal/News,Helsinki_NLP,12.43,81.91,2.6,16.0,17.0,18.5,2.5,1.5,False,False
S5,Formal/News,Helsinki_NLP,9.23,85.2,3.2,20.0,13.0,12.0,8.0,1.0,False,False
S6,Conversational,Helsinki_NLP,31.62,86.27,1.87,10.0,12.0,23.0,13.0,11.0,True,True
S7,Idiomatic,Helsinki_NLP,10.68,81.77,1.8,17.0,18.0,24.0,7.0,6.0,False,False
S8,Idiomatic,Helsinki_NLP,3.75,76.37,2.4,24.0,24.0,20.0,4.0,4.0,False,False
S1,Formal/Science,NLLB_200,35.0,84.09,4.2,8.0,14.0,3.5,4.5,10.5,False,True
S2,Formal/Science,NLLB_200,60.11,95.4,4.27,3.0,3.0,2.0,1.0,1.0,False,False
S3,Formal/Geography,NLLB_200,29.4,90.56,4.07,11.0,6.0,5.0,6.0,1.0,False,False
S4,Formal/News,NLLB_200,87.09,96.25,4.6,2.0,2.0,1.0,1.0,1.0,False,False
S5,Formal/News,NLLB_200,41.35,93.07,4.0,6.0,4.0,6.5,0.5,2.5,False,False
S6,Conversational,NLLB_200,37.39,86.89,2.87,7.0,11.0,14.0,7.0,3.0,False,False
S7,Idiomatic,NLLB_200,56.33,89.57,2.87,4.0,7.0,14.0,10.0,7.0,True,False
S8,Idiomatic,NLLB_200,9.43,80.74,4.2,19.0,20.0,3.5,15.5,16.5,True,True
S1,Formal/Science,mBART_50,17.82,81.19,2.8,13.0,19.0,16.5,3.5,2.5,False,False
S2,Formal/Science,mBART_50,33.72,92.57,3.53,9.0,5.0,10.0,1.0,5.0,False,False
S3,Formal/Geography,mBART_50,4.62,79.61,3.67,23.0,23.0,9.0,14.0,14.0,True,True
S4,Formal/News,mBART_50,90.62,99.84,4.0,1.0,1.0,6.5,5.5,5.5,False,False
S5,Formal/News,mBART_50,27.66,89.32,3.73,12.0,8.0,8.0,4.0,0.0,False,False
S6,Conversational,mBART_50,10.52,83.38,2.0,18.0,15.0,21.0,3.0,6.0,False,False
S7,Idiomatic,mBART_50,53.09,88.7,1.93,5.0,9.0,22.0,17.0,13.0,True,True
S8,Idiomatic,mBART_50,5.3,82.28,3.33,21.0,16.0,11.0,10.0,5.0,True,False
