Auto_Metric,Human_Criterion,Spearman_rho,p_value,Significant,n
BLEU,Adequacy,0.2384,0.2619,❌ No,24
BLEU,Fluency,0.4972,0.0134,✅ Yes,24
BLEU,Faithfulness,0.2878,0.1727,❌ No,24
BLEU,Human_Overall,0.3654,0.0791,❌ No,24
chrF++,Adequacy,0.4271,0.0374,✅ Yes,24
chrF++,Fluency,0.6171,0.0013,✅ Yes,24
chrF++,Faithfulness,0.4629,0.0227,✅ Yes,24
chrF++,Human_Overall,0.5383,0.0067,✅ Yes,24
BERTScore_F1,Adequacy,0.3197,0.1278,❌ No,24
BERTScore_F1,Fluency,0.5414,0.0063,✅ Yes,24
BERTScore_F1,Faithfulness,0.4358,0.0333,✅ Yes,24
BERTScore_F1,Human_Overall,0.4939,0.0142,✅ Yes,24
